Leg_Index,cmd_ q_des_abad,cmd_ q_des_hip,cmd_ q_des_knee,cmd_ qd_des_abad,cmd_ qd_des_hip,cmd_ qd_des_knee,cmd_ kp_abad,cmd_ kp_hip,cmd_ kp_knee,cmd_ kd_abad,cmd_ kd_hip,cmd_ kd_knee,cmd_ tau_abad_ff,cmd_ tau_hip_ff,cmd_ tau_knee_ff,cmd_ Control Mode,cmd_ Checksum,cmd_ Flags_raw,cmd_ Flags,data_ q_abad,data_ q_hip,data_ q_knee,data_ qd_abad,data_ qd_hip,data_ qd_knee,data_ tau_m_abad,data_ tau_m_hip,data_ tau_m_knee,data_ CalcChecksum,data_ RcvdChecksum,data_ Flag_dataraw,data_ Flag_data,stm_ ab_p,stm_ hip_p,stm_ knee_p,stm_ ab_v,stm_ hip_v,stm_ knee_v,stm_ ab_kp,stm_ hip_kp,stm_ knee_kp,stm_ ab_kd,stm_ hip_kd,stm_ knee_kd,stm_ ab_t,stm_ hip_t,stm_ knee_t,stm_ flags,stm_ checksum,stm_ nan_rcvd,stm_ checksumerror,stm_ ab_motorTrqCalcAfterLim,stm_ ab_motorTrqCalcBeforeLim,stm_ hip_motorTrqCalcAfterLim,stm_ hip_motorTrqCalcBeforeLim,stm_ knee_motorTrqCalcAfterLim,stm_ knee_motorTrqCalcBeforeLim
0,0.419999987,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,1054280253,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-70.0,-70.0,0,0,0,0,0.419999987,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1054280253,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-70.0,-70.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-70.0,-70.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-70.0,-70.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.419999987,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,1054280253,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684261993,0.0684261993,0.0684261993,0,0,-2145384448,0,0.419999987,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1054280253,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684261993,0.0684261993,0.0684261993,0,0,-2145384448,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684261993,0.0684261993,0.0684261993,0,0,-2145384448,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684261993,0.0684261993,0.0684261993,0,0,-2145384448,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.419999987,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,1054280253,0,0,-0.104715347,-0.157359123,0.0240332279,-0.0122108459,-0.0122108459,-0.0183162689,-0.0684261993,-0.0684261993,-0.0684261993,-54587276,-54587276,2145384444,0,0.419999987,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1054280253,0,0,0.955405235,-0.160792351,0.0108083086,0.0366287231,-0.0366287231,-0.0915756226,-0.20527859,-0.0684261993,0.0684261993,-54587276,-54587276,-2145388552,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,-1.57911777,0.213053703,-0.321838379,-0.0122108459,-0.061050415,-0.0183162689,-0.0684261993,-0.0684261993,0.0684261993,20391765,20391765,-2145388548,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,-0.304608345,-0.570496559,0.328196198,-0.0122108459,-0.0854682922,-0.0549430847,0.20527859,-0.0684261993,0.0684261993,20391765,20391765,-2145388540,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.419999987,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,1054280253,0,0,-0.105096817,-0.156977654,0.0237789154,-0.0122108459,-0.0122108459,-0.0183162689,-0.0684261993,-0.0684261993,-0.0684261993,-2098365659,-2098365659,2145384444,0,0.419999987,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1054280253,0,0,0.955405235,-0.160792351,0.0108083086,0.0854682922,0.0366287231,-0.0183162689,-0.0684261993,-0.20527859,-0.0684261993,-2098365659,-2098365659,2145380348,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,-1.57911777,0.213053703,-0.321838379,-0.0122108459,-0.0122108459,-0.164834976,-0.0684261993,-0.0684261993,-0.20527859,27679317,27679317,2141190140,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,-0.304608345,-0.570496559,0.328196198,-0.0122108459,-0.0854682922,-0.128202438,0.20527859,0.0684261993,-0.0684261993,27679317,27679317,2145388548,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.419999987,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,1054280253,0,0,-0.105096817,-0.157359123,0.0237789154,-0.0366287231,-0.0122108459,-0.0183162689,-0.0684261993,-0.0684261993,-0.0684261993,-24400731,-24400731,2145384444,0,0.419999987,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1054280253,0,0,0.955405235,-0.160792351,0.0108083086,0.0854682922,-0.061050415,-0.128202438,-0.0684261993,-0.20527859,0.0684261993,-24400731,-24400731,-2145392644,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,-1.57911777,0.213053703,-0.321838379,-0.0122108459,-0.061050415,-0.0549430847,-0.0684261993,-0.0684261993,0.0684261993,2138842453,2138842453,-2145388548,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,-0.304608345,-0.570496559,0.328196198,0.061050415,-0.0366287231,-0.0183162689,0.20527859,-0.0684261993,-0.0684261993,2138842453,2138842453,2145384452,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
